id,name,category,price,vendor_id,stock
1,Right-sized tangible focus group,Sports,17795.77,43,136
2,Realigned 24/7 model,Clothing,30476.09,11,273
3,Ergonomic attitude-oriented encoding,Home & Kitchen,8211.95,25,138
4,Up-sized incremental matrix,Automotive,11019.78,21,431
5,Realigned well-modulated encoding,Electronics,11490.95,3,412
6,Team-oriented methodical project,Sports,20088.18,5,108
7,Universal mobile knowledge user,Health,43824.56,21,108
8,Ameliorated background frame,Grocery,19811.81,42,234
9,Face-to-face impactful solution,Books,13280.76,16,381
10,Fully-configurable fault-tolerant protocol,Automotive,26971.92,48,299
11,Reduced holistic leverage,Toys,44896.25,26,185
12,Reactive multi-tasking hardware,Home & Kitchen,49866.42,9,260
13,Optimized value-added neural-net,Grocery,4590.93,4,440
14,Managed heuristic standardization,Clothing,7684.42,11,405
15,Persevering encompassing function,Toys,29840.63,25,195
16,Function-based discrete capability,Health,49806.26,34,128
17,Up-sized content-based functionalities,Automotive,43045.95,1,348
18,Decentralized value-added monitoring,Clothing,34101.43,35,384
19,Virtual system-worthy contingency,Beauty,38441.51,22,57
20,Ergonomic didactic support,Beauty,21766.52,30,1
21,Polarized even-keeled success,Beauty,48595.81,49,91
22,Reverse-engineered well-modulated moderator,Automotive,45635.76,41,152
23,Right-sized executive attitude,Automotive,30468.06,10,191
24,Ergonomic explicit emulation,Books,26991.98,50,472
25,Multi-lateral context-sensitive framework,Automotive,45928.75,39,165
26,Advanced tertiary monitoring,Grocery,1022.86,24,449
27,De-engineered even-keeled analyzer,Beauty,12010.64,16,449
28,Business-focused neutral frame,Health,47350.12,6,374
29,Total clear-thinking productivity,Grocery,40810.36,49,272
30,Versatile mobile benchmark,Books,6463.15,31,484
31,Advanced object-oriented forecast,Automotive,8298.09,34,446
32,Phased mission-critical intranet,Health,21185.74,14,475
33,Mandatory contextually-based application,Automotive,37775.5,45,102
34,Function-based mission-critical budgetary management,Beauty,19979.67,43,332
35,Cloned impactful matrix,Sports,21933.1,34,231
36,Compatible object-oriented product,Clothing,12432.89,5,173
37,Synergized actuating collaboration,Electronics,29436.02,15,301
38,Distributed non-volatile framework,Home & Kitchen,409.18,46,323
39,Configurable dynamic capability,Electronics,11485.64,3,440
40,Realigned well-modulated instruction set,Sports,3589.32,16,142
41,Robust radical utilization,Grocery,10751.13,9,370
42,Secured directional time-frame,Health,28831.77,16,401
43,Programmable homogeneous knowledge user,Grocery,40384.48,13,48
44,Organic exuding parallelism,Clothing,32966.19,23,216
45,Optimized fault-tolerant open system,Toys,23377.88,47,27
46,Secured analyzing pricing structure,Clothing,3077.6,47,173
47,User-centric bandwidth-monitored task-force,Clothing,12470.38,13,274
48,Expanded responsive data-warehouse,Grocery,7052.11,12,142
49,Fundamental stable artificial intelligence,Grocery,12527.83,5,226
50,Diverse disintermediate conglomeration,Automotive,4940.54,42,276
51,Reactive asynchronous complexity,Electronics,48451.36,49,434
52,Adaptive incremental knowledge user,Home & Kitchen,8357.24,32,246
53,Team-oriented radical leverage,Home & Kitchen,43239.29,4,84
54,Implemented 5thgeneration emulation,Toys,157.66,25,135
55,Horizontal tertiary forecast,Grocery,14298.2,45,490
56,Total logistical archive,Automotive,33110.47,32,79
57,Synergized discrete firmware,Home & Kitchen,14870.56,4,296
58,Self-enabling optimizing protocol,Automotive,3094.83,21,29
59,Exclusive interactive budgetary management,Electronics,29229.67,33,470
60,Quality-focused directional project,Automotive,7913.76,33,41
61,Distributed encompassing circuit,Books,3472.64,5,345
62,Compatible analyzing concept,Home & Kitchen,20218.59,37,126
63,Integrated radical synergy,Health,29746.23,40,41
64,Re-contextualized executive intranet,Toys,32885.79,37,267
65,Decentralized maximized solution,Sports,46738.58,14,342
66,Innovative tangible initiative,Sports,11972.36,26,67
67,Future-proofed motivating moratorium,Beauty,22888.37,49,479
68,Proactive leadingedge artificial intelligence,Clothing,515.31,40,288
69,Right-sized 6thgeneration Internet solution,Clothing,3709.37,14,259
70,User-centric fresh-thinking portal,Beauty,6666.21,23,451
71,Function-based 4thgeneration array,Clothing,43969.55,24,145
72,Focused systematic orchestration,Books,21937.32,35,360
73,Reverse-engineered 3rdgeneration task-force,Beauty,30603.3,42,270
74,Synergistic encompassing orchestration,Electronics,33409.77,36,153
75,Balanced well-modulated system engine,Clothing,46949.55,9,135
76,Enhanced methodical model,Clothing,44491.15,48,283
