id,name,email,city,rating,joined_date
1,"Choudhury, Bakshi and Maharaj",udantdewan@chaudry.com,Tiruchirappalli,3.56,2024-03-23
2,Tiwari PLC,issaconi@sen.com,Kozhikode,1.1,2026-04-07
3,Oak-Mall,tanveernayar@chanda.com,Hapur,2.1,2025-11-11
4,Bassi-Sharaf,radhakrishnanfarhan@memon.com,Ambattur,1.89,2024-07-11
5,Kaul Inc,dmall@patla.com,Shimoga,3.95,2026-04-13
6,"Bora, Garg and Walla",nihalshere@madan-kanda.com,Berhampur,3.71,2023-06-07
7,Rattan-Loyal,kakardivya@tata.info,Bilaspur,4.57,2023-11-21
8,Yohannan LLC,xrastogi@devi.info,Nashik,1.35,2023-10-06
9,Dutta Ltd,ybhatt@sidhu-wadhwa.com,Raipur,2.69,2026-03-13
10,"Loke, Oak and Choudhury",radhika27@lall.com,Bihar Sharif,1.12,2026-01-05
11,"Issac, Dua and Prakash",aadinaik@bahl-choudhury.com,Mathura,1.87,2023-07-17
12,Brar Inc,wbiswas@dass.net,Bilaspur,3.02,2025-07-16
13,"Sampath, Kakar and Zacharia",devikarastogi@prakash.info,Shahjahanpur,1.11,2024-04-02
14,Nigam Inc,thomasamble@bhargava.com,Bathinda,1.8,2023-08-07
15,"Khanna, Mallick and Sunder",kevinsolanki@solanki.com,Jalandhar,3.6,2026-02-05
16,Pandya-Sampath,usibal@chaudhari.biz,Moradabad,3.18,2024-05-09
17,Gupta PLC,bdey@mallick.com,Mango,1.88,2025-08-20
18,Bedi Ltd,chanderwarjas@ray.info,Rewa,3.36,2023-07-19
19,Raghavan Inc,ylanka@mangal-sampath.net,Bhatpara,4.24,2024-02-07
20,Kalla-Bhardwaj,murthydakshesh@sood.net,Howrah,1.03,2025-06-15
21,Grewal Inc,keernetra@koshy.org,Udupi,4.22,2023-08-24
22,Virk-Mutti,samarth53@randhawa-deep.com,Satna,3.79,2023-08-09
23,Shanker PLC,borahtanay@lanka.com,Uluberia,2.36,2024-07-04
24,Sarma PLC,abhiram84@chawla.com,Begusarai,1.62,2023-12-16
25,Manda-Kade,samar48@krishnamurthy-behl.com,Bally,4.83,2023-06-26
26,Nath and Sons,neel78@sane.com,Bongaigaon,2.35,2023-06-13
27,Divan-Sani,benjaminmorar@baral-parmar.com,Kota,1.37,2024-10-19
28,"Ray, Dubey and Khalsa",petersachar@gola.com,Kulti,1.39,2024-06-06
29,Chokshi Group,singhaltristan@sharma.com,Rajahmundry,4.39,2023-05-25
30,"Hans, Rastogi and Narasimhan",ekaraj45@upadhyay.com,Bhiwandi,3.41,2024-05-28
31,Lanka Inc,sarafhemani@murthy.com,Gangtok,4.23,2024-02-08
32,Basu-Sarin,venkateshronith@sankar-boase.com,Amravati,3.92,2024-07-28
33,"More, Rege and Narain",jmerchant@handa.biz,Tadepalligudem,3.14,2025-09-19
34,Ravi-Acharya,bhavini36@nagy.info,Sasaram,4.89,2025-04-23
35,"Gara, Chad and Mander",girik34@issac.com,Sambalpur,2.51,2025-04-26
36,"Bora, Shah and Sachdeva",leenatalwar@kohli-divan.com,Khandwa,3.21,2024-03-23
37,Vasa Group,krishjairaj@deol-shetty.net,Mango,4.32,2025-11-25
38,"Thaman, Sandhu and Sehgal",vaishnavisengupta@kota-malhotra.net,Mathura,3.47,2024-06-18
39,Brahmbhatt-Mangal,anitanayak@zachariah-buch.com,Ahmednagar,4.45,2024-12-04
40,"Dua, Kala and Bhatt",vreddy@shukla.com,Pali,3.31,2025-10-12
41,"Bahri, Rai and Sood",pandeychanchal@saini-yohannan.net,Morbi,3.82,2024-03-24
42,Sarin-Sunder,ramachandrangayathri@ravel.com,Singrauli,1.18,2025-10-24
43,"Bala, Chacko and Sangha",triyagopal@lad.com,Malda,1.91,2024-09-07
44,Raghavan-Mall,fkrishnan@bahl-zacharia.com,Rajahmundry,2.16,2026-01-22
45,Baria Inc,ryanbahri@dua.info,Phusro,1.32,2024-03-22
46,Kunda-Pillay,ishwargade@chokshi-bal.com,Sikar,1.93,2024-02-21
47,Kibe Inc,jai90@walia-sangha.com,Guna,1.4,2026-01-18
48,Arora-Salvi,bcherian@sharaf-dua.biz,Nagaon,2.11,2026-01-23
49,Yohannan-Sule,usarin@loyal.com,Hospet,3.54,2024-05-01
50,Raghavan-Nayar,talwarekta@sura.com,Mau,2.46,2024-06-26
